+---+----------+----------+--------+--------+
|Day|  Plant   | Harvest  |Expenses| Income |
+---+----------+----------+--------+--------+
|  1|ABDEFGCHIJ|          |  11916G|      0G|
|  2|          |DJ        |      0G|  31851G|
|  3|          |I         |      0G|  21168G|
|  4|EH        |BEH       |   2299G|  65088G|
|  5|A         |AC        |    504G| 269568G|
|  6|G         |G         |   3555G|  30780G|
|  7|EH        |BDEFH     |   2299G|  90108G|
|  9|A         |A         |    504G|    432G|
| 10|EH        |BEH       |   2299G|  65088G|
| 11|G         |G         |   3555G|  30780G|
| 12|          |D         |      0G|  17982G|
| 13|AEH       |ABEH      |   2803G|  65520G|
| 14|          |F         |      0G|   7038G|
| 15|          |J         |      0G|  13869G|
| 16|EGH       |BEGCH     |   5854G| 365004G|
| 17|A         |AD        |    504G|  18414G|
| 19|EH        |BEH       |   2299G|  65088G|
| 20|          |I         |      0G|  21168G|
| 21|AG        |AFG       |   4059G|  38250G|
| 22|EH        |BDEH      |   2299G|  83070G|
| 25|AEH       |ABEH      |   2803G|  65520G|
| 26|G         |G         |   3555G|  30780G|
| 27|          |DC        |      0G| 287118G|
| 28|EH        |BEFHJ     |   2299G|  85995G|
| 29|A         |A         |    504G|    432G|
| 31|EGH       |BEGH      |   5854G|  95868G|
| 32|          |D         |      0G|  17982G|
| 33|A         |A         |    504G|    432G|
| 34|EH        |BEH       |   2299G|  65088G|
| 35|          |F         |      0G|   7038G|
| 36|G         |G         |   3555G|  30780G|
| 37|AEH       |ABDEHI    |   2803G| 104670G|
| 38|          |C         |      0G| 269136G|
| 40|EH        |BEH       |   2299G|  65088G|
| 41|AG        |AGJ       |   4059G|  45081G|
| 42|          |DF        |      0G|  25020G|
| 43|EH        |BEH       |   2299G|  65088G|
| 45|A         |A         |    504G|    432G|
| 46|EH        |BEGH      |   2299G|  95868G|
| 47|          |D         |      0G|  17982G|
| 49|          |ABEFCH    |      0G| 341694G|
+---+----------+----------+--------+--------+
|ALL|          |          |  80385G|3017358G|
+---+----------+----------+--------+--------+
Ali will make 2936973G.
